Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,toilets,accepts_reservations,has_drinking_water,rv_hookups,pets_allowed,is_cheap,has_showers,has_dump,Column 13,Column 14,Column 15,Column 16
-92.875,42.953,ACKL/Ackley Creek County Park  CP PH:641.756.3490   SITES:40  AMEN:E DP DW SH L$ approx 1.0 mi SW of Marble Rock 42.953 -92.875,ACKL,Ackley Creek County Park,CP,641.756.3490, , ,40, ,E DP DW SH L$ ,unknown,unknown,1,E,unknown,1,1,1,IA,1,SW,Marble Rock
-93.724,41.738,ACOR/Acorn Valley - Saylorville Lake  COE PH:515.276.0429 early jun-late aug  SITES:70  AMEN:E DP DW SH RS PA approx 11.2 mi NW of Des Moines 41.738 -93.724,ACOR,Acorn Valley - Saylorville Lake,COE,515.276.0429,early jun-late aug, ,70, ,E DP DW SH RS PA ,unknown,1,1,E,1,0,1,1,IA,11.2,NW,Des Moines
-94.643,41.498,ADAI/Adair City Park  CP PH:641.742.3751   SITES:12  AMEN:E SH approx 0.2 mi S  of Adair 41.498 -94.643,ADAI,Adair City Park,CP,641.742.3751, , ,12, ,E SH ,unknown,unknown,unknown,E,unknown,0,1,unknown,IA,0.2,S ,Adair
-92.21,43.12,ADOL/Adolph Munson Park  CP      AMEN:NH PT approx 6.8 mi NE of New Hampton 43.12 -92.21,ADOL,Adolph Munson Park,CP, , , , , ,NH PT ,PT,unknown,unknown,NH,unknown,0,unknown,unknown,IA,6.8,NE,New Hampton
-92.348,43.09,AIRP/Airport Lake Park  CP   COMM:primitive - tent SITES:50  AMEN:E PT approx 2.6 mi NW of New Hampton 43.09 -92.348,AIRP,Airport Lake Park,CP, , ,primitive - tent,50, ,E PT ,PT,unknown,unknown,E,unknown,0,unknown,unknown,IA,2.6,NW,New Hampton
-96.556,42.832,AKRO/Akron City Park  CP      AMEN:E DW SH L$ approx 0.3 mi NE of Akron 42.832 -96.556,AKRO,Akron City Park,CP, , , , , ,E DW SH L$ ,unknown,unknown,1,E,unknown,1,1,unknown,IA,0.3,NE,Akron
-94.926,41.711,ALBE/Albert the Bull CG  CP PH:712.563.3856   SITES:40  AMEN:E DP DW SH approx 0.6 mi SE of Audubon 41.711 -94.926,ALBE,Albert the Bull CG,CP,712.563.3856, , ,40, ,E DP DW SH ,unknown,unknown,1,E,unknown,0,1,1,IA,0.6,SE,Audubon
-92.313,42.88,ALCO/Alcock Park  CP PH:319.882.4742 early may-late oct  SITES:40  AMEN:E DP DW SH L$ approx 0.2 mi W of Frederika 42.88 -92.313,ALCO,Alcock Park,CP,319.882.4742,early may-late oct, ,40, ,E DP DW SH L$ ,unknown,unknown,1,E,unknown,1,1,1,IA,0.2,W,Frederika
-96.005,42.998,ALTO/Alton Roadside Park  CP      AMEN:E DP DW SH L$ approx 0.8 mi N of Alton 42.998 -96.005,ALTO,Alton Roadside Park,CP, , , , , ,E DP DW SH L$ ,unknown,unknown,1,E,unknown,1,1,1,IA,0.8,N,Alton
-94.247,43.052,AMBR/Ambrose Call State Park  SP PH:515.295.3669 early may-late sep  SITES:15  AMEN:NH RS approx 1.4 mi SW of Algona 43.052 -94.247,AMBR,Ambrose Call State Park,SP,515.295.3669,early may-late sep, ,15, ,NH RS ,unknown,1,unknown,NH,unknown,0,unknown,unknown,IA,1.4,SW,Algona
-93.609,42.026,AMES/Ames Bandshell City Park  CP      AMEN:NH ND NS N$ approx 0.8 mi E of Ames 42.026 -93.609,AMES,Ames Bandshell City Park,CP, , , , , ,NH ND NS N$ ,unknown,unknown,unknown,NH,unknown,0,0,0,IA,0.8,E,Ames
-95.131,43.366,ARNO/Arnolds Park City Park  CP PH:712.332.2341    approx 0.6 mi SW of Arnolds Park 43.366 -95.131,ARNO,Arnolds Park City Park,CP,712.332.2341, , , , ,,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,IA,0.6,SW,Arnolds Park
-95.59,41.432,ARRO/Arrowhead Park  CP PH:712.485.2295   SITES:60  AMEN:E DP DW SH L$ approx 1.8 mi SE of Neola 41.432 -95.59,ARRO,Arrowhead Park,CP,712.485.2295, , ,60, ,E DP DW SH L$ ,unknown,unknown,1,E,unknown,1,1,1,IA,1.8,SE,Neola
-93.289,41.814,ASHT/Ashton Wildwood Park  CP   COMM:dense woods-observatory   AMEN:NH ND approx 7.1 mi W of Baxter 41.814 -93.289,ASHT,Ashton Wildwood Park,CP, , ,dense woods-observatory, , ,NH ND ,unknown,unknown,unknown,NH,unknown,0,unknown,0,IA,7.1,W,Baxter
-91.968,40.768,AUST/Austin County Park  CP   COMM:primitive   AMEN:NH NW approx 2.6 mi N  of Keosauqua 40.768 -91.968,AUST,Austin County Park,CP, , ,primitive, , ,NH NW ,unknown,unknown,0,NH,unknown,0,unknown,unknown,IA,2.6,N ,Keosauqua
-91.56,42.616,BACK/Backbone State Park  SP PH:563.924.2527 all year  SITES:125  AMEN:WES DP SH RS approx 2.6 mi N  of Dundee 42.616 -91.56,BACK,Backbone State Park,SP,563.924.2527,all year, ,125, ,WES DP SH RS ,unknown,1,unknown,WES,unknown,0,1,1,IA,2.6,N ,Dundee
-91.411,42.447,BAIL/Baileys Ford  CP PH:563.927.3410   SITES:50  AMEN:E DP DW SH L$ approx 3.6 mi SE of Manchester. 42.447 -91.411,BAIL,Baileys Ford,CP,563.927.3410, , ,50, ,E DP DW SH L$ ,unknown,unknown,1,E,unknown,1,1,1,IA,3.6,SE,Manchester.
